model,year,price,transmission,mileage,fuelType,mpg,engineSize
 Yeti Outdoor,2017,13299,Manual,13041,Diesel,62.8,2.0
 Fabia,2013,7600,Manual,18500,Petrol,53.3,1.2
 Superb,2018,15700,Manual,18590,Diesel,72.4,1.6
 Octavia,2017,13700,Manual,26371,Petrol,53.3,1.4
 Citigo,2015,6490,Manual,16373,Petrol,62.8,1.0
 Fabia,2017,9490,Manual,15649,Petrol,64.2,1.0
 Karoq,2018,20490,Manual,6369,Petrol,52.3,1.5
 Rapid,2018,8990,Manual,15081,Petrol,61.4,1.0
 Kodiaq,2019,29990,Automatic,3021,Diesel,37.2,2.0
 Superb,2019,26990,Semi-Auto,4000,Diesel,47.1,2.0
 Karoq,2019,24990,Manual,2500,Diesel,42.8,2.0
 Fabia,2016,7877,Manual,25059,Petrol,60.1,1.2
 Rapid,2016,8198,Manual,19319,Petrol,57.7,1.2
 Octavia,2015,9500,Automatic,39844,Diesel,62.8,2.0
 Citigo,2018,6999,Manual,12612,Petrol,64.2,1.0
 Rapid,2018,10268,Manual,18428,Petrol,61.4,1.0
 Superb,2016,14799,Automatic,48675,Diesel,62.8,2.0
 Superb,2016,10499,Manual,60061,Diesel,68.9,2.0
 Citigo,2013,5200,Manual,29946,Petrol,62.8,1.0
 Superb,2015,12600,Manual,20790,Petrol,57.7,1.4
 Octavia,2018,19000,Automatic,15000,Petrol,44.1,2.0
 Octavia,2017,10700,Manual,38552,Petrol,55.4,0.0
 Yeti,2016,10495,Automatic,43074,Petrol,51.4,1.2
 Fabia,2017,9800,Manual,25607,Petrol,58.9,1.2
 Octavia,2017,16100,Automatic,12913,Diesel,61.4,2.0
 Citigo,2017,8000,Manual,4063,Petrol,64.2,1.0
 Octavia,2016,7500,Automatic,91200,Diesel,74.3,1.6
 Superb,2015,9000,Manual,97470,Diesel,68.9,2.0
 Fabia,2016,6000,Manual,86470,Petrol,58.8,1.2
 Octavia,2017,8795,Automatic,89550,Diesel,70.6,1.6
 Octavia,2017,10499,Automatic,63717,Diesel,70.6,1.6
 Superb,2016,8500,Manual,72854,Diesel,67.3,1.6
 Octavia,2015,8500,Automatic,82065,Diesel,64.2,2.0
 Yeti,2015,11499,Manual,50866,Diesel,55.4,2.0
 Fabia,2016,8500,Manual,57146,Diesel,74.3,1.4
 Yeti,2017,10800,Manual,26588,Petrol,51.4,1.2
 Octavia,2017,11700,Semi-Auto,27476,Diesel,74.3,1.6
 Yeti,2014,9000,Semi-Auto,38000,Petrol,44.8,1.2
 Kodiaq,2019,30000,Automatic,7251,Petrol,31.4,2.0
 Karoq,2019,25000,Automatic,2549,Diesel,42.8,2.0
 Octavia,2014,9700,Manual,48581,Petrol,53.3,1.4
 Citigo,2012,5500,Manual,11136,Petrol,67.3,1.0
 Octavia,2015,11800,Manual,51367,Diesel,64.2,2.0
 Octavia,2015,13000,Manual,43560,Diesel,62.8,2.0
 Octavia,2019,14790,Automatic,14176,Petrol,57.7,1.0
 Kodiaq,2019,29000,Automatic,6695,Petrol,31.7,2.0
 Citigo,2018,8400,Manual,16623,Petrol,67.3,1.0
 Fabia,2017,9400,Manual,24882,Diesel,70.6,1.4
 Octavia,2016,14000,Semi-Auto,10857,Petrol,56.5,1.4
 Octavia,2018,17000,Automatic,9729,Petrol,47.9,2.0
 Karoq,2019,19690,Manual,6924,Petrol,52.3,1.5
 Fabia,2015,6540,Manual,42916,Petrol,60.1,1.2
 Octavia,2019,17690,Manual,12,Petrol,48.7,1.5
 Karoq,2019,20590,Automatic,8335,Diesel,62.8,1.6
 Karoq,2018,22000,Manual,9973,Diesel,42.8,2.0
 Fabia,2019,13390,Manual,1514,Petrol,61.4,1.0
 Karoq,2019,22000,Automatic,1958,Diesel,62.8,1.6
 Kodiaq,2018,26490,Automatic,15451,Petrol,38.2,2.0
 Kodiaq,2020,30000,Automatic,15451,Diesel,39.2,2.0
 Fabia,2017,7690,Manual,50130,Petrol,60.1,1.2
 Fabia,2016,10900,Manual,15082,Petrol,58.9,1.2
 Rapid,2017,8800,Manual,33151,Petrol,61.4,1.0
 Citigo,2017,6700,Manual,26771,Petrol,64.2,1.0
 Octavia,2016,9200,Manual,59121,Diesel,74.3,1.6
 Yeti,2017,13400,Semi-Auto,15000,Petrol,51.4,1.2
 Octavia,2017,11590,Manual,15002,Petrol,55.4,1.4
 Octavia,2019,17940,Automatic,9520,Diesel,67.3,2.0
 Octavia,2019,14390,Manual,12340,Diesel,67.3,1.6
 Octavia,2019,18190,Manual,471,Diesel,54.3,2.0
 Citigo,2017,7290,Manual,25766,Petrol,68.9,1.0
 Citigo,2016,8500,Automatic,9888,Petrol,64.2,1.0
 Fabia,2016,7000,Manual,29089,Petrol,58.8,1.0
 Octavia,2016,14400,Manual,43763,Diesel,62.8,2.0
 Karoq,2018,23500,Automatic,7817,Diesel,54.3,2.0
 Yeti,2014,9000,Manual,43429,Diesel,61.4,1.6
 Fabia,2016,8300,Manual,32972,Petrol,60.1,1.2
 Octavia,2017,10700,Manual,27099,Diesel,72.4,1.6
 Citigo,2013,5000,Manual,51082,Petrol,68.9,1.0
 Citigo,2016,7600,Manual,18565,Petrol,67.3,1.0
 Fabia,2014,7500,Automatic,26008,Petrol,53.3,0.0
 Octavia,2017,9400,Manual,22508,Petrol,62.8,1.0
 Octavia,2017,16500,Manual,28518,Diesel,62.8,2.0
 Superb,2017,14700,Manual,26967,Petrol,68.9,2.0
 Superb,2016,15300,Semi-Auto,11210,Diesel,62.8,2.0
 Yeti,2017,13000,Semi-Auto,22848,Petrol,51.4,1.2
 Fabia,2016,8100,Manual,23778,Petrol,60.1,1.2
 Superb,2015,12400,Manual,41528,Diesel,53.3,2.0
 Octavia,2017,13000,Manual,22231,Petrol,55.4,1.4
 Karoq,2019,22000,Automatic,13149,Diesel,42.8,2.0
 Citigo,2018,7800,Manual,19001,Petrol,64.2,1.0
 Fabia,2017,8700,Manual,9873,Petrol,60.1,1.2
 Superb,2016,16500,Automatic,45020,Diesel,55.4,2.0
 Superb,2016,15100,Manual,12582,Petrol,56.5,1.4
 Citigo,2016,7000,Manual,18255,Petrol,67.3,1.0
 Fabia,2015,6000,Manual,23262,Petrol,60.1,1.0
 Citigo,2013,5000,Manual,25269,Petrol,62.8,1.0
 Fabia,2015,6600,Manual,40528,Petrol,60.1,1.2
 Citigo,2015,6300,Manual,13539,Petrol,62.8,1.0
 Citigo,2018,6800,Manual,40123,Petrol,64.2,1.0
 Octavia,2016,14800,Automatic,41092,Diesel,57.7,2.0
 Yeti,2015,10200,Manual,37256,Diesel,62.8,2.0
 Yeti,2016,11800,Automatic,25956,Petrol,51.4,1.2
 Citigo,2017,8000,Manual,4417,Petrol,64.2,1.0
 Citigo,2016,7500,Manual,9843,Petrol,62.8,1.0
 Superb,2016,14100,Automatic,33129,Diesel,70.6,1.6
 Superb,2017,17300,Automatic,31813,Diesel,61.4,2.0
 Superb,2017,18500,Automatic,29985,Petrol,43.5,2.0
 Superb,2017,19400,Automatic,12129,Diesel,58.9,2.0
 Fabia,2016,10000,Manual,18999,Petrol,58.9,1.2
 Fabia,2016,8700,Manual,29388,Petrol,60.1,1.2
 Octavia,2018,18400,Automatic,9705,Diesel,57.7,2.0
 Superb,2017,19300,Automatic,7952,Diesel,61.4,2.0
 Octavia,2016,11800,Automatic,21509,Petrol,58.9,1.4
 Octavia,2017,14000,Manual,10664,Diesel,65.7,2.0
 Superb,2017,16500,Automatic,44942,Diesel,58.9,2.0
 Octavia,2017,10200,Manual,40861,Petrol,55.4,1.4
 Fabia,2015,10800,Automatic,32437,Petrol,60.1,1.2
 Citigo,2016,6400,Manual,16524,Petrol,64.2,1.0
 Fabia,2018,11500,Manual,10720,Petrol,64.2,0.0
 Octavia,2019,16000,Automatic,259,Petrol,47.1,1.5
 Yeti,2014,10500,Automatic,22776,Petrol,44.8,1.2
 Fabia,2015,8800,Automatic,32453,Diesel,78.5,1.4
 Yeti,2016,11100,Manual,36817,Diesel,62.8,2.0
 Citigo,2017,6800,Manual,12867,Petrol,64.2,1.0
 Citigo,2013,5000,Manual,32716,Petrol,68.9,1.0
 Rapid,2018,11100,Manual,8349,Petrol,58.9,1.0
 Citigo,2018,8200,Manual,1852,Petrol,64.2,1.0
 Fabia,2016,9000,Manual,30113,Petrol,60.1,1.2
 Citigo,2015,6300,Manual,19288,Petrol,62.8,1.0
 Superb,2016,17000,Automatic,17089,Diesel,60.1,2.0
 Octavia,2019,19800,Automatic,5113,Petrol,35.8,2.0
 Octavia,2018,13300,Manual,16707,Petrol,55.4,1.5
 Kodiaq,2019,25000,Automatic,11568,Diesel,49.6,2.0
 Octavia,2017,16800,Automatic,36751,Diesel,57.7,2.0
 Octavia,2017,12500,Manual,36817,Diesel,65.7,2.0
 Yeti,2017,10499,Semi-Auto,45932,Petrol,51.4,1.2
 Fabia,2018,8600,Manual,18534,Petrol,64.2,1.0
 Fabia,2015,6700,Manual,14829,Petrol,58.8,1.0
 Superb,2013,9489,Automatic,30150,Diesel,46.3,2.0
 Fabia,2016,7789,Manual,23156,Petrol,60.1,1.2
 Fabia,2017,10495,Manual,8675,Petrol,64.2,1.0
 Citigo,2017,6495,Manual,34948,Petrol,64.2,1.0
 Rapid,2017,8995,Manual,20395,Petrol,57.7,1.2
 Citigo,2013,4600,Manual,33576,Petrol,67.3,1.0
 Superb,2019,15810,Manual,2917,Petrol,40.9,1.5
 Octavia,2016,14471,Automatic,44500,Petrol,44.1,2.0
 Fabia,2017,7559,Manual,25985,Petrol,64.2,1.0
 Yeti Outdoor,2017,13825,Automatic,27264,Petrol,51.4,1.2
 Citigo,2018,6375,Manual,34672,Petrol,64.2,1.0
 Karoq,2019,19300,Manual,2329,Diesel,50.4,2.0
 Octavia,2016,11300,Manual,23511,Petrol,55.4,1.4
 Fabia,2017,10500,Automatic,19310,Petrol,60.1,1.2
 Octavia,2016,9600,Manual,31070,Diesel,74.3,1.6
 Fabia,2018,9500,Manual,9719,Petrol,57.7,1.0
 Octavia,2017,17500,Automatic,23591,Diesel,55.4,2.0
 Superb,2017,16700,Automatic,43672,Diesel,61.4,2.0
 Superb,2013,8499,Automatic,77939,Diesel,44.8,2.0
 Superb,2017,13699,Automatic,16755,Diesel,62.8,2.0
 Yeti,2016,10499,Automatic,48682,Petrol,51.4,1.2
 Citigo,2016,4500,Manual,73458,Petrol,62.8,1.0
 Superb,2015,8000,Manual,105060,Diesel,68.9,2.0
 Octavia,2014,7000,Manual,64990,Diesel,74.3,1.6
 Superb,2017,17500,Manual,10938,Petrol,54.3,1.4
 Octavia,2020,16595,Manual,10,Petrol,51.4,1.5
 Superb,2017,14595,Automatic,43299,Diesel,61.4,2.0
 Octavia,2016,9995,Manual,31111,Petrol,55.4,1.4
 Octavia,2016,9995,Manual,81394,Diesel,58.9,2.0
 Fabia,2016,7495,Manual,44344,Petrol,60.1,1.2
 Octavia,2014,8995,Manual,46721,Diesel,68.9,2.0
 Fabia,2016,8695,Manual,49677,Petrol,60.1,1.2
 Octavia,2016,10690,Automatic,6993,Petrol,62.8,1.0
 Octavia,2017,10380,Manual,28270,Petrol,58.9,1.0
 Octavia,2017,10390,Manual,25582,Petrol,58.9,1.0
 Citigo,2013,3995,Automatic,87000,Petrol,64.2,1.0
 Superb,2014,10495,Manual,45200,Diesel,52.3,2.0
 Fabia,2010,3695,Manual,74000,Diesel,67.3,1.6
 Fabia,2016,8125,Manual,36795,Diesel,78.5,1.4
 Yeti,2017,11325,Manual,30627,Petrol,51.4,1.2
 Fabia,2018,11799,Manual,7250,Petrol,64.2,1.0
 Scala,2019,18710,Automatic,506,Diesel,54.3,1.6
 Karoq,2019,22890,Manual,1752,Diesel,42.8,2.0
 Karoq,2018,16995,Manual,12009,Diesel,62.8,1.6
 Yeti Outdoor,2017,12671,Manual,25116,Petrol,51.4,1.2
 Yeti,2016,10300,Manual,34770,Petrol,51.4,1.2
 Octavia,2016,16000,Manual,29781,Diesel,62.8,2.0
 Octavia,2017,15400,Automatic,19576,Diesel,61.4,0.0
 Fabia,2006,1295,Manual,100964,Petrol,47.1,1.2
 Fabia,2017,7995,Manual,33398,Petrol,58.8,1.0
 Yeti,2016,10494,Automatic,18452,Petrol,51.4,1.2
 Octavia,2017,10980,Manual,22747,Petrol,54.3,1.4
 Kodiaq,2019,20985,Automatic,449,Petrol,34.0,1.5
 Karoq,2018,18500,Manual,14142,Petrol,51.4,1.5
 Citigo,2015,7489,Manual,24190,Petrol,62.8,1.0
 Octavia,2016,10000,Manual,72000,Diesel,68.9,2.0
 Yeti,2010,4399,Manual,101145,Petrol,44.1,1.2
 Octavia,2017,14621,Manual,24588,Diesel,64.2,2.0
 Octavia,2017,12491,Manual,14751,Petrol,55.4,1.4
 Fabia,2019,10490,Manual,15757,Petrol,61.4,1.0
 Superb,2019,26780,Automatic,3583,Diesel,47.1,2.0
 Kodiaq,2019,24590,Manual,4938,Diesel,52.3,2.0
 Superb,2019,24980,Automatic,2241,Petrol,38.2,2.0
 Citigo,2019,9690,Manual,2987,Petrol,67.3,1.0
 Kamiq,2020,23490,Automatic,10,Petrol,52.3,1.6
 Karoq,2019,21490,Manual,5078,Diesel,49.6,2.0
 Fabia,2018,9480,Manual,15696,Petrol,64.2,1.0
 Citigo,2016,5831,Manual,22425,Petrol,62.8,1.0
 Citigo,2016,5751,Manual,31520,Petrol,62.8,1.0
 Fabia,2018,8371,Manual,35066,Petrol,64.2,1.0
 Fabia,2017,7971,Manual,17396,Petrol,64.2,1.0
 Kamiq,2019,21995,Automatic,3985,Petrol,44.1,1.5
 Superb,2019,25995,Automatic,5093,Diesel,44.1,2.0
 Fabia,2019,12995,Manual,3000,Petrol,61.4,1.0
 Octavia,2016,8850,Manual,40705,Diesel,80.7,1.6
 Octavia,2018,14499,Automatic,9565,Petrol,56.5,1.5
 Superb,2019,19199,Automatic,13033,Diesel,62.8,2.0
 Citigo,2013,4995,Manual,43000,Petrol,62.8,1.0
 Superb,2018,18441,Automatic,16445,Petrol,53.3,1.4
 Fabia,2018,8995,Manual,8059,Petrol,57.7,1.0
 Yeti,2017,12495,Manual,19025,Petrol,51.4,1.2
 Yeti Outdoor,2017,9999,Manual,42299,Diesel,62.8,2.0
 Yeti,2011,5699,Manual,93579,Diesel,46.3,2.0
 Octavia,2016,10999,Automatic,23771,Petrol,58.9,1.4
 Fabia,2017,6899,Manual,51089,Petrol,60.1,1.2
 Superb,2017,9000,Manual,114820,Diesel,68.9,2.0
 Octavia,2016,7795,Manual,84120,Diesel,70.6,2.0
 Kodiaq,2017,20898,Manual,20452,Petrol,40.9,1.4
 Scala,2019,17995,Automatic,42,Petrol,45.6,1.5
 Superb,2016,13491,Automatic,4625,Petrol,55.4,1.4
 Yeti,2017,13750,Manual,19956,Diesel,62.8,2.0
 Superb,2019,24995,Automatic,2000,Diesel,39.2,2.0
 Fabia,2019,11750,Manual,5123,Petrol,64.2,1.0
 Citigo,2014,4741,Manual,35710,Petrol,62.8,1.0
 Citigo,2018,7180,Manual,24453,Petrol,64.2,1.0
 Octavia,2018,11987,Manual,22350,Petrol,57.7,1.5
 Fabia,2009,3295,Manual,79000,Petrol,47.9,1.2
 Octavia,2015,10399,Manual,15310,Diesel,68.9,2.0
 Octavia,2013,6899,Manual,40092,Diesel,67.3,1.6
 Octavia,2016,13499,Manual,25640,Diesel,64.2,2.0
 Octavia,2018,17499,Manual,17941,Diesel,62.8,2.0
 Fabia,2017,8999,Automatic,25480,Petrol,60.1,1.2
 Fabia,2015,9241,Automatic,15977,Petrol,60.1,1.2
 Octavia,2017,10995,Manual,20598,Petrol,58.9,1.0
 Fabia,2018,9695,Manual,8631,Petrol,64.2,1.0
 Fabia,2015,7995,Manual,38148,Petrol,58.9,1.2
 Fabia,2018,8995,Manual,17896,Petrol,64.2,1.0
 Fabia,2018,9695,Manual,8596,Petrol,64.2,1.0
 Rapid,2018,10250,Manual,15398,Petrol,62.8,1.0
 Yeti Outdoor,2017,14450,Automatic,37000,Diesel,51.4,2.0
 Citigo,2017,5000,Manual,71964,Petrol,64.2,1.0
 Superb,2017,11499,Manual,34028,Diesel,68.9,1.6
 Citigo,2017,6999,Manual,24113,Petrol,64.2,1.0
 Octavia,2010,4299,Manual,43000,Diesel,62.8,1.6
 Yeti,2017,15495,Manual,13591,Petrol,51.4,1.2
 Fabia,2019,8995,Manual,13932,Petrol,50.4,1.0
 Superb,2015,8999,Manual,37555,Diesel,61.4,2.0
 Citigo,2017,7599,Manual,28971,Petrol,68.9,1.0
 Fabia,2017,7899,Manual,34969,Petrol,60.1,1.2
 Yeti,2015,9250,Manual,63813,Petrol,51.4,1.2
 Octavia,2015,7291,Manual,97745,Diesel,60.1,2.0
 Octavia,2014,10168,Automatic,61811,Diesel,56.5,2.0
 Octavia,2015,7750,Manual,85957,Diesel,70.6,2.0
 Fabia,2016,7999,Manual,18977,Petrol,60.1,1.2
 Octavia,2016,13199,Automatic,68902,Diesel,60.1,2.0
 Fabia,2018,12495,Automatic,8835,Petrol,61.4,1.0
 Fabia,2015,8995,Automatic,31867,Petrol,60.1,1.2
 Citigo,2018,7995,Manual,10744,Petrol,64.2,1.0
 Octavia,2019,19995,Manual,1020,Diesel,67.3,1.6
 Scala,2019,16495,Manual,1069,Petrol,49.6,1.0
 Fabia,2019,15695,Manual,1000,Petrol,60.1,1.0
 Fabia,2018,8750,Manual,2991,Petrol,57.7,1.0
 Karoq,2018,16990,Manual,20900,Petrol,52.3,1.5
 Octavia,2016,11990,Manual,18431,Petrol,55.4,1.4
 Citigo,2019,8990,Manual,10300,Petrol,65.7,1.0
 Octavia,2018,14490,Manual,9000,Petrol,55.4,1.5
 Kodiaq,2019,25990,Automatic,11041,Diesel,42.2,2.0
 Fabia,2016,8490,Manual,33308,Petrol,60.1,1.2
 Fabia,2017,8995,Manual,21000,Petrol,64.2,1.0
 Fabia,2004,1295,Manual,96000,Petrol,47.1,1.2
 Octavia,2018,13999,Semi-Auto,32061,Petrol,56.5,1.5
 Citigo,2016,6690,Manual,10200,Petrol,64.2,1.0
 Kodiaq,2019,27890,Manual,4508,Diesel,52.3,2.0
 Octavia,2019,17400,Manual,12,Petrol,48.7,1.5
 Karoq,2018,22000,Automatic,8100,Petrol,50.4,1.5
 Fabia,2017,8490,Manual,25022,Petrol,60.1,1.2
 Octavia,2018,14990,Automatic,18930,Petrol,56.5,1.5
 Yeti Outdoor,2017,13000,Manual,7648,Diesel,62.8,2.0
 Kodiaq,2019,23800,Automatic,10358,Diesel,42.2,2.0
 Superb,2019,21790,Automatic,8326,Petrol,36.7,1.5
 Superb,2019,25000,Automatic,14,Petrol,38.2,2.0
 Fabia,2017,10400,Manual,8000,Petrol,64.2,1.0
 Octavia,2019,15500,Manual,7095,Diesel,56.5,2.0
 Fabia,2017,9000,Manual,20538,Petrol,60.1,1.2
 Yeti Outdoor,2017,15490,Automatic,14419,Petrol,51.4,1.2
 Fabia,2017,9490,Manual,18854,Petrol,64.2,1.0
 Fabia,2018,8990,Manual,29829,Petrol,64.2,1.0
 Karoq,2019,19990,Manual,10,Diesel,47.1,2.0
 Kodiaq,2020,34990,Automatic,3500,Diesel,39.2,2.0
 Octavia,2019,17990,Automatic,6643,Petrol,55.4,1.5
 Kodiaq,2018,25990,Automatic,13519,Diesel,49.6,2.0
 Octavia,2019,19990,Automatic,7220,Diesel,45.6,2.0
 Fabia,2019,11490,Manual,2388,Petrol,51.4,1.0
 Octavia,2019,19490,Automatic,4211,Petrol,47.9,2.0
 Fabia,2019,11990,Manual,916,Petrol,60.1,1.0
 Fabia,2019,13490,Manual,3300,Petrol,50.4,1.0
 Citigo,2019,8990,Manual,3788,Petrol,67.3,1.0
 Octavia,2016,13990,Manual,36305,Diesel,64.2,2.0
 Kodiaq,2018,22490,Automatic,18250,Petrol,44.8,1.4
 Fabia,2016,7490,Manual,29800,Petrol,58.8,1.0
 Kodiaq,2017,17490,Manual,41954,Petrol,40.9,1.4
 Kamiq,2019,18990,Manual,6300,Petrol,47.1,1.0
 Kodiaq,2019,24990,Automatic,11510,Petrol,34.0,1.5
 Kodiaq,2017,17800,Manual,38500,Diesel,51.4,2.0
 Octavia,2017,14500,Automatic,10817,Petrol,56.5,1.4
 Octavia,2016,10995,Manual,27300,Diesel,70.6,2.0
 Superb,2018,21990,Automatic,22904,Petrol,43.5,2.0
 Karoq,2018,14990,Manual,14538,Diesel,61.4,1.6
 Octavia,2018,16990,Manual,19792,Petrol,43.5,2.0
 Fabia,2018,10790,Manual,12934,Petrol,64.2,1.0
 Octavia,2015,12990,Manual,36078,Diesel,61.4,2.0
 Fabia,2018,11990,Manual,14087,Petrol,60.1,1.0
 Superb,2017,12990,Automatic,69052,Petrol,53.3,1.4
 Fabia,2016,8495,Manual,31518,Petrol,60.1,1.2
 Octavia,2017,10990,Manual,29880,Petrol,55.4,1.4
 Citigo,2017,7490,Manual,23862,Petrol,64.2,1.0
 Yeti Outdoor,2017,12490,Manual,24501,Petrol,51.4,1.2
 Octavia,2019,15400,Manual,2348,Petrol,52.3,1.5
 Fabia,2019,13290,Manual,1758,Petrol,50.4,1.0
 Fabia,2017,8000,Manual,37150,Petrol,60.1,1.2
 Fabia,2016,7900,Manual,28893,Petrol,58.8,1.2
 Octavia,2019,14290,Manual,10026,Diesel,67.3,1.6
 Octavia,2010,1485,Manual,250650,Diesel,57.6,1.9
 Octavia,2019,19290,Automatic,3359,Petrol,35.8,2.0
 Fabia,2018,9990,Manual,14105,Petrol,64.2,1.0
 Kodiaq,2018,21990,Automatic,8586,Petrol,44.8,1.4
 Octavia,2016,7795,Manual,89230,Diesel,74.3,1.6
 Octavia,2016,7795,Manual,82980,Diesel,74.3,1.6
 Yeti Outdoor,2016,10490,Manual,40695,Petrol,51.4,1.2
 Yeti Outdoor,2017,11490,Manual,46914,Petrol,51.4,1.2
 Fabia,2018,12490,Manual,6912,Petrol,64.2,1.0
 Citigo,2018,8490,Manual,15724,Petrol,68.9,1.0
 Fabia,2017,8490,Manual,37449,Petrol,60.1,1.2
 Fabia,2017,9790,Manual,20267,Petrol,60.1,1.2
 Fabia,2017,11290,Automatic,22730,Petrol,61.4,1.0
 Kamiq,2020,18990,Automatic,228,Petrol,44.1,1.5
 Fabia,2016,7490,Manual,15658,Petrol,58.8,1.0
 Fabia,2016,8990,Manual,36030,Petrol,60.1,1.2
 Octavia,2019,15990,Manual,6240,Petrol,50.4,1.0
 Fabia,2020,13990,Manual,10,Petrol,50.4,1.0
 Citigo,2018,8990,Manual,2314,Petrol,67.3,1.0
 Karoq,2018,16990,Manual,21098,Petrol,52.3,1.5
 Yeti,2014,8990,Manual,40224,Diesel,55.4,2.0
 Karoq,2018,16480,Manual,22749,Petrol,52.3,1.5
 Scala,2019,16980,Automatic,3500,Petrol,47.1,1.0
 Fabia,2018,6670,Manual,19338,Petrol,57.7,1.0
 Rapid,2017,8850,Manual,18024,Diesel,74.3,1.6
 Octavia,2017,11750,Automatic,45737,Diesel,62.8,2.0
 Kodiaq,2017,17950,Automatic,33015,Petrol,44.8,1.4
 Octavia,2016,10999,Manual,81440,Diesel,64.2,2.0
 Octavia,2018,13990,Automatic,5635,Petrol,55.4,1.5
 Fabia,2019,11990,Manual,10,Petrol,51.4,1.0
 Karoq,2020,26990,Manual,1601,Diesel,42.8,2.0
 Kodiaq,2017,21260,Manual,12476,Petrol,40.9,1.4
 Fabia,2019,11187,Manual,5435,Petrol,61.4,1.0
 Fabia,2018,8995,Manual,19425,Petrol,64.2,1.0
 Octavia,2020,18990,Automatic,1941,Diesel,54.3,2.0
 Scala,2020,16490,Manual,5234,Petrol,49.6,1.0
 Fabia,2018,8875,Manual,14658,Petrol,57.7,1.0
 Fabia,2018,8986,Manual,2441,Petrol,57.7,1.0
 Fabia,2019,11698,Manual,2800,Petrol,51.4,1.0
 Superb,2017,14495,Automatic,57254,Diesel,61.4,2.0
 Octavia,2016,7999,Manual,86552,Diesel,74.3,1.6
 Roomster,2009,2495,Manual,97000,Petrol,40.9,1.4
 Fabia,2012,4850,Manual,38901,Petrol,49.6,1.2
 Octavia,2019,14750,Automatic,14082,Petrol,57.7,1.0
 Fabia,2016,8238,Manual,31437,Petrol,60.1,1.2
 Karoq,2018,15798,Manual,13330,Petrol,53.3,1.0
 Superb,2016,15350,Automatic,45234,Diesel,62.8,2.0
 Fabia,2017,10475,Automatic,28096,Petrol,61.4,1.0
 Scala,2019,16295,Automatic,3572,Petrol,45.6,1.5
 Fabia,2015,7295,Manual,42730,Diesel,78.6,1.4
 Octavia,2019,16795,Manual,4108,Diesel,54.3,2.0
 Kodiaq,2018,26490,Automatic,20056,Petrol,38.2,2.0
 Octavia,2018,11990,Manual,14449,Diesel,68.9,1.6
 Rapid,2014,5990,Manual,49080,Petrol,55.4,1.2
 Superb,2017,16990,Automatic,22757,Diesel,62.8,2.0
 Yeti Outdoor,2014,10990,Automatic,68092,Diesel,44.8,2.0
 Octavia,2016,9990,Manual,44315,Petrol,55.4,1.4
 Fabia,2017,8490,Manual,14546,Petrol,64.2,1.0
 Fabia,2019,11495,Manual,2652,Petrol,51.4,1.0
 Fabia,2019,11495,Manual,3075,Petrol,51.4,1.0
 Citigo,2019,7995,Manual,2360,Petrol,67.3,1.0
 Citigo,2017,6120,Manual,13453,Petrol,64.2,1.0
 Fabia,2018,12996,Automatic,15833,Petrol,61.4,1.0
 Fabia,2017,10477,Automatic,15781,Petrol,60.1,1.2
 Octavia,2018,14000,Automatic,9943,Petrol,56.5,1.4
 Karoq,2018,18000,Manual,8473,Diesel,62.8,1.6
 Fabia,2018,9995,Manual,3657,Petrol,57.7,1.0
 Citigo,2016,5895,Manual,35929,Petrol,68.9,1.0
 Octavia,2019,19650,Automatic,14196,Diesel,45.6,2.0
 Kodiaq,2019,24000,Automatic,13011,Diesel,42.2,2.0
 Kodiaq,2017,19500,Automatic,46333,Petrol,44.8,1.4
 Superb,2019,17500,Automatic,16207,Diesel,62.8,2.0
 Fabia,2019,11495,Manual,1771,Petrol,51.4,1.0
 Citigo,2017,6000,Manual,19607,Petrol,64.2,1.0
 Octavia,2019,17195,Automatic,1763,Diesel,70.6,1.6
 Superb,2019,22295,Automatic,3567,Petrol,36.7,1.5
 Octavia,2019,20833,Automatic,1005,Petrol,44.8,1.5
 Yeti Outdoor,2016,10495,Automatic,28076,Petrol,51.4,1.2
 Yeti Outdoor,2016,11495,Manual,25199,Petrol,51.4,1.2
 Superb,2019,24695,Automatic,5864,Diesel,61.4,2.0
 Fabia,2017,7970,Manual,27976,Petrol,58.8,1.0
 Citigo,2017,6780,Manual,20012,Petrol,64.2,1.0
 Fabia,2017,8890,Manual,19751,Petrol,60.1,1.2
 Octavia,2015,7795,Manual,81540,Diesel,68.9,2.0
 Octavia,2016,7295,Manual,109270,Diesel,70.6,2.0
 Octavia,2016,16490,Automatic,31329,Diesel,56.5,2.0
 Fabia,2017,8995,Manual,23985,Petrol,60.1,1.2
 Superb,2017,14800,Manual,36509,Diesel,64.2,2.0
 Kodiaq,2017,23000,Automatic,12300,Petrol,44.8,1.4
 Fabia,2019,8200,Manual,14925,Petrol,50.4,1.0
 Octavia,2017,13200,Automatic,23100,Diesel,62.8,2.0
 Karoq,2019,22000,Manual,3791,Diesel,42.8,2.0
 Rapid,2013,4495,Manual,99000,Diesel,64.2,1.6
 Superb,2016,8000,Manual,114160,Diesel,68.9,1.6
 Octavia,2016,6795,Manual,94940,Diesel,70.6,2.0
 Octavia,2016,10695,Manual,84360,Diesel,62.8,2.0
 Octavia,2016,9500,Manual,98420,Diesel,64.2,2.0
 Fabia,2012,5791,Automatic,52710,Petrol,53.3,1.2
 Fabia,2015,6359,Manual,56162,Diesel,83.1,1.4
